"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X32" "X33" "X34" "X35" "X36" "X37" "X38" "X39" "X40"
"1" 4 0 0 0 0 0 0 3 1 0 0 0 4 0 0 0 2 0 0 0 4 0 0 0 2 0 0 0 3 0 0 1 0 2 0 0 2 0 0 0
"2" 0 0 4 1 0 2 3 0 0 0 4 0 0 0 2 1 2 0 0 0 0 0 2 0 0 0 1 3 0 0 0 4 0 0 1 1 0 0 1 2
"3" 0 0 1 0 1 0 1 0 0 0 3 0 0 0 1 1 0 0 3 0 0 0 2 0 0 1 2 0 0 0 3 0 1 1 1 0 0 0 6 1
"4" 0 0 3 0 0 0 3 0 0 2 0 0 0 4 0 0 0 3 0 0 0 0 5 0 0 0 1 0 0 2 0 0 0 2 0 0 0 1 1 0
"5" 0 5 0 0 0 1 0 0 0 3 1 0 1 0 0 0 0 3 0 0 0 2 0 0 0 4 0 0 0 3 0 0 1 4 0 0 0 2 0 0
"6" 2 0 1 0 3 1 0 0 5 0 1 0 4 1 0 0 4 0 0 1 1 0 0 2 3 0 0 0 2 0 0 0 2 0 0 0 0 0 0 2
"7" 2 0 0 0 2 0 0 0 1 0 0 0 2 0 0 0 5 0 0 0 3 0 0 0 0 3 0 0 4 0 0 0 0 3 0 0 0 3 0 0
"8" 0 0 0 3 3 0 0 0 4 0 0 0 0 0 0 1 1 0 1 1 3 0 0 0 2 0 0 0 3 0 0 0 0 0 0 2 0 0 0 5
"9" 0 0 0 5 0 0 1 2 1 1 0 4 0 1 1 3 0 0 0 2 0 0 0 6 0 0 0 4 0 0 0 2 0 0 0 2 0 1 0 2
"10" 0 0 0 4 0 0 0 1 0 1 0 2 0 1 0 2 1 0 0 4 0 0 0 5 0 0 0 4 0 0 0 3 0 0 0 4 0 0 0 3
"11" 0 0 0 3 0 0 0 3 0 0 0 2 0 0 0 1 0 0 0 3 1 0 0 1 0 0 1 1 0 0 0 2 0 0 0 1 0 0 0 4
"12" 5 0 0 0 0 0 5 0 3 0 0 0 1 0 0 0 2 0 0 0 2 0 0 1 0 0 3 0 3 0 0 0 4 0 0 0 3 0 0 0
"13" 0 1 1 0 0 0 2 0 0 1 3 0 1 0 2 1 0 0 2 0 0 0 4 0 0 0 3 0 0 0 1 1 0 0 3 0 0 0 2 0
"14" 0 0 0 2 0 0 0 3 0 0 0 3 0 1 0 3 0 0 0 1 0 0 0 2 0 0 0 4 0 0 0 2 0 0 0 4 0 0 0 1
"15" 0 1 0 0 5 0 0 0 3 0 0 0 4 0 1 0 2 0 0 0 5 0 0 0 2 0 0 0 1 0 1 0 2 0 2 0 2 1 0 0
"16" 0 0 3 0 0 0 3 1 0 1 6 0 1 0 3 0 0 0 2 0 0 0 2 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0
"17" 0 3 0 0 0 7 0 0 1 2 0 0 0 0 2 0 0 3 0 0 1 1 0 0 0 1 0 0 0 2 0 0 0 2 0 0 0 1 0 0
"18" 0 0 1 2 0 3 0 0 0 0 0 1 0 0 0 6 0 0 0 2 0 0 0 5 0 1 0 0 3 0 0 0 0 0 0 3 0 0 0 4
"19" 2 0 0 0 3 0 0 1 1 0 0 0 3 1 0 0 5 0 0 0 3 0 0 0 6 0 0 0 2 0 0 0 2 0 0 0 1 0 1 0
"20" 0 0 2 0 0 0 4 0 0 0 2 0 0 1 2 0 0 0 1 0 0 0 2 0 0 0 5 0 0 0 2 0 0 0 2 0 0 1 0 0
"21" 1 1 0 1 0 0 0 3 0 0 0 2 0 0 0 4 0 0 0 2 0 0 0 6 0 0 0 2 0 0 0 1 1 0 1 0 0 0 0 4
"22" 0 0 4 0 0 0 2 0 4 0 0 0 0 0 3 0 0 1 0 0 0 0 3 0 0 0 2 0 2 0 0 0 0 0 1 0 0 0 3 0
"23" 0 0 0 1 0 0 0 1 0 0 0 2 0 0 0 3 0 0 0 3 0 0 0 7 0 0 0 1 0 1 0 2 0 0 1 1 0 0 0 4
"24" 0 0 0 3 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 5 0 0 0 2 0 0 0 3 0 0 1 0 0 0 0 3 0 0 0 1
"25" 0 0 2 0 0 1 3 0 0 0 4 0 0 0 4 0 0 0 2 0 0 0 1 0 0 0 2 0 1 0 5 1 0 0 2 0 0 0 4 0
"26" 0 0 3 0 1 0 3 1 0 0 2 0 2 0 0 0 1 0 0 0 3 0 0 1 0 0 4 0 0 0 1 0 0 0 3 1 0 0 5 0
"27" 0 3 0 0 0 4 0 0 0 1 1 0 1 1 0 0 3 0 0 0 5 0 0 0 5 0 0 0 6 0 0 2 0 5 0 0 2 0 0 0
"28" 1 4 0 0 0 3 0 0 0 2 0 0 0 2 0 0 0 3 0 0 1 3 0 0 1 3 0 0 0 1 0 0 4 0 0 0 0 3 0 0
"29" 0 5 0 0 0 0 0 1 0 4 0 1 0 0 0 2 0 0 0 5 0 0 1 2 0 3 0 0 0 0 0 5 0 0 1 5 0 0 0 4
"30" 2 0 0 1 3 0 0 0 4 0 0 0 2 0 0 0 5 0 0 0 3 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 4 0 0 1
"31" 0 3 0 0 0 4 0 0 0 2 0 0 0 3 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 1 1 0 0 5 0 0 0 4 0 0
"32" 0 0 3 0 0 1 2 0 0 0 1 0 0 0 4 1 0 0 0 1 0 0 0 2 0 0 0 4 0 0 0 5 0 0 0 4 0 0 3 0
"33" 0 1 0 2 0 0 0 7 0 0 0 3 1 0 0 3 0 0 0 4 0 0 0 1 0 0 0 2 0 0 1 5 0 0 0 3 0 0 0 5
"34" 0 0 0 3 0 0 0 2 0 0 0 3 0 0 0 2 0 0 0 2 0 0 0 4 0 0 0 1 0 0 0 2 0 0 1 3 0 0 1 2
"35" 3 0 0 0 1 0 0 0 0 0 0 6 4 0 0 0 1 0 0 0 3 0 0 0 3 0 0 0 0 0 1 3 3 0 0 1 3 1 0 0
"36" 0 4 0 0 0 3 0 0 0 1 0 0 0 3 0 0 0 1 1 0 0 0 0 3 0 3 0 0 0 1 0 0 0 1 0 0 1 3 0 0
"37" 0 0 0 1 0 2 0 0 0 1 0 1 0 3 0 0 0 4 0 0 0 0 0 2 0 3 1 0 4 0 0 0 0 2 0 0 0 0 0 4
"38" 1 0 2 0 0 1 4 0 1 1 3 0 0 0 5 0 1 0 1 1 0 0 2 0 0 0 3 0 0 1 1 0 0 0 5 0 1 0 3 0
"39" 0 0 0 3 0 0 0 2 0 0 0 3 0 0 0 3 0 0 0 3 0 0 0 2 0 0 0 3 0 0 0 2 0 0 0 2 0 0 0 1
"40" 0 0 1 3 0 0 0 1 0 4 0 0 0 1 0 1 0 3 0 0 0 2 0 0 0 0 0 3 1 3 0 0 0 4 0 0 0 7 0 0
"41" 3 0 0 0 3 0 0 0 2 0 0 0 3 0 1 0 3 0 0 0 3 0 0 0 5 0 0 0 3 0 0 0 4 1 0 0 3 0 0 0
"42" 2 0 1 0 0 0 4 0 0 0 2 1 0 0 4 0 1 0 1 0 0 0 2 0 5 1 0 0 0 0 3 1 2 0 0 0 2 0 1 0
"43" 0 0 1 1 0 0 3 0 0 0 3 0 1 0 1 0 0 1 4 0 1 0 1 0 0 0 2 0 0 0 3 0 0 0 4 0 0 0 1 1
"44" 0 1 0 4 0 0 0 2 0 0 0 3 0 0 0 4 0 0 0 3 0 0 0 2 0 2 0 0 0 0 0 3 0 0 0 3 0 0 0 3
"45" 1 0 0 0 1 0 0 0 2 1 0 0 5 0 1 0 3 0 0 0 1 0 0 0 5 0 0 0 4 0 0 0 3 0 0 0 4 0 0 0
"46" 0 0 4 0 0 0 2 0 0 0 1 1 0 0 4 0 0 0 3 0 0 0 1 1 1 0 2 0 0 0 5 0 0 0 1 0 0 0 3 0
"47" 0 0 2 0 0 0 3 0 0 0 4 0 0 0 5 0 0 0 2 0 0 0 3 0 0 0 5 0 0 0 1 0 0 0 2 0 0 0 1 0
"48" 1 0 0 0 5 0 0 0 0 0 0 3 0 0 1 2 4 0 0 0 3 0 0 0 0 0 0 2 3 0 0 0 1 0 0 2 2 0 0 0
"49" 0 0 0 3 0 0 0 2 0 0 0 3 0 0 0 3 0 0 0 4 0 0 1 2 1 0 0 2 0 0 0 2 0 0 0 2 0 0 0 3
"50" 1 0 5 0 0 0 2 0 0 0 6 0 0 2 0 0 0 0 4 0 0 0 3 0 0 0 1 0 0 0 3 0 0 0 4 1 0 0 4 0
"51" 0 0 0 4 0 0 0 3 1 0 0 1 0 0 0 2 0 0 1 2 0 1 0 0 0 0 0 3 0 0 0 3 0 0 0 4 0 0 0 1
